S_ASS;ASS;;Advanced Sub Station Alpha
S_IMAGE/BMP;Bitmap;;Basic image based subtitle format
S_SSA;SSA;;Sub Station Alpha
S_TEXT/ASS;ASS;;Advanced Sub Station Alpha
S_TEXT/SSA;SSA;;Sub Station Alpha
S_TEXT/USF;USF;;Universal Subtitle Format
S_TEXT/UTF8;UTF-8;;UTF-8 Plain Text
S_USF;USF;;Universal Subtitle Format
S_UTF8;UTF-8;;UTF-8 Plain Text
S_VOBSUB;VobSub;;Picture based subtitle format used on DVDs
S_HDMV/PGS;PGS;;Picture based subtitle format used on BDs/HD-DVDs
S_HDMV/TEXTST;TEXTST;;Text based subtitle format used on BDs